Date,Open,High,Low,Close,Volume
01-01-2008,1000,1000,986,991,183100
02-01-2008,1005,1009.95,978.6,993.1,351300
03-01-2008,999,999,969.95,972.65,455600
04-01-2008,975,982.5,959,964,798900
07-01-2008,952,970,952,964,683100
08-01-2008,965,970,936,938,644300
09-01-2008,944.9,1055,912.5,918.9,601300
10-01-2008,931,941.75,905.05,909.9,510700
11-01-2008,927,927,888,892,857600
14-01-2008,899.7,909,840,852,698500
15-01-2008,873.95,881.35,852,870,1000700
16-01-2008,868,868,827,840,558800
17-01-2008,855,894.9,842.15,860.25,602600
18-01-2008,860,865.55,835.1,835.1,444500
21-01-2008,824,834.5,755.05,790,614100
22-01-2008,780,840,700,794,949500
23-01-2008,835,859,785,820,777600
24-01-2008,850,850,761,790,1045600
25-01-2008,823,845,794,835,563300
28-01-2008,775.05,874,775.05,861,358000
29-01-2008,870,881,816.3,866.6,739300
30-01-2008,870,870,833,845,462300
31-01-2008,843,864.8,825,838.25,702800
01-02-2008,833.15,918,826,902,425600
04-02-2008,920,923.9,891.2,895.5,773000
05-02-2008,912,920,869,872,296900
06-02-2008,855.1,860,827,832.9,400600
07-02-2008,845,845,790,793,549200
08-02-2008,802,814,780.1,799,588500
11-02-2008,805.75,850,775,811,467600
12-02-2008,815.4,827,796.25,804.9,313800
13-02-2008,812,824.95,802.15,816.2,394800
14-02-2008,821.1,845,820,830.3,245000
15-02-2008,825,829,805,812.65,658100
18-02-2008,830,830,801,805.7,212400
19-02-2008,813,819,805.15,809,394100
20-02-2008,808,808,763,771.5,750100
21-02-2008,777,790,754.45,765,631700
22-02-2008,765,774.8,750.1,765,599000
25-02-2008,775,805.5,768.25,795.95,623500
26-02-2008,811.3,816,791,813,349100
27-02-2008,815,840,815,835,678200
28-02-2008,830,843,816.7,840,517800
29-02-2008,830,875,825,868,1698900
03-03-2008,859.7,909,847.5,873,1827800
04-03-2008,875,915,875,915,1388500
05-03-2008,907,944.5,902,940,1504300
06-03-2008,940,940,940,940,0
07-03-2008,921.25,938.1,873.55,926.15,1553900
10-03-2008,919,938,883,886.4,1362900
11-03-2008,885,892,852,861.8,846100
12-03-2008,876,884.9,851.1,861.8,965800
13-03-2008,850,874.9,806,837.4,797000
14-03-2008,840,849.8,805,839,652800
17-03-2008,810,829.9,800,805.1,361600
18-03-2008,810,824.85,805.15,809.25,446400
19-03-2008,830,836.25,801.6,829.9,649000
20-03-2008,829.9,829.9,829.9,829.9,0
21-03-2008,829.9,829.9,829.9,829.9,0
24-03-2008,863.55,863.55,790,810,505100
25-03-2008,825,863.95,816,845.3,747200
26-03-2008,850,856,835.05,845,699100
27-03-2008,840.25,848.5,831,839,557400
28-03-2008,834.75,855,822,843.6,519800
31-03-2008,840,840,811,817.95,685900
01-04-2008,840,855,807.55,815,454500
02-04-2008,829,849,805.5,811,243500
